Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,Cpu_Brand,SSD,HDD,Flash_Storage,Gpu_brand,OS,Price
MSI,Gaming,16,2.4,0,1,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,162575
Acer,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,32850
Dell,Gaming,8,2.56,0,0,146.86047800548656,Intel Core i7,128,0,0,Nvidia,Windows,95836
Acer,Notebook,8,3.0,0,1,129.58277471072344,Intel Core i5,256,0,0,Nvidia,Windows,77175
HP,Notebook,4,1.49,0,1,169.45439769863833,Intel Core i5,0,500,0,Intel,Windows,68138
Huawei,Ultrabook,8,1.05,0,1,199.69207064108247,Intel Core i5,256,0,0,Intel,Windows,121909
HP,Notebook,6,2.71,0,1,129.58277471072344,Intel Core i5,0,0,0,AMD,Windows,63168
Lenovo,Notebook,4,2.2,0,0,104.47285665558198,AMD Processor,0,500,0,AMD,Other/No OS/Linux,27924
Toshiba,Notebook,4,2.0,0,0,104.47285665558198,Other Intel Processor,0,500,0,Intel,Windows,44190
HP,Notebook,8,2.5,0,0,129.58277471072344,Intel Core i5,256,0,0,Nvidia,Windows,83411
Dell,Notebook,8,2.3,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,41479
Acer,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,128,0,0,Intel,Windows,40576
MSI,Gaming,32,4.4,0,0,122.38373167123879,Intel Core i7,512,0,0,Nvidia,Windows,252945
Lenovo,Notebook,8,1.9,0,0,146.86047800548656,Intel Core i5,128,0,0,AMD,Windows,73470
HP,2 in 1 Convertible,8,1.29,0,1,338.90879539727666,Intel Core i5,256,0,0,Intel,Windows,135464
Dell,Notebook,16,2.02,0,0,146.86047800548656,Intel Core i7,256,0,0,AMD,Other/No OS/Linux,94798
Dell,Ultrabook,8,1.23,0,0,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,126427
Lenovo,2 in 1 Convertible,16,1.4,0,1,338.90879539727666,Intel Core i7,512,0,0,Intel,Windows,167094
Toshiba,Notebook,8,2.0,0,0,104.47285665558198,Intel Core i5,128,0,0,Intel,Windows,71663
Xiaomi,Notebook,8,1.95,0,1,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Other/No OS/Linux,108353
Dell,Notebook,16,2.77,0,0,129.58277471072344,Intel Core i7,512,0,0,Nvidia,Windows,139983
Dell,Notebook,16,2.06,0,0,293.7209560109731,Intel Core i7,512,0,0,Nvidia,Windows,216616
Lenovo,Gaming,8,2.4,0,1,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Other/No OS/Linux,70398
Acer,Ultrabook,8,1.12,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,89375
Dell,Notebook,8,2.8,0,0,129.58277471072344,Intel Core i7,128,0,0,AMD,Windows,98051
Lenovo,2 in 1 Convertible,16,1.42,0,0,209.8006828649808,Intel Core i7,0,0,0,Intel,Windows,255204
Vero,Notebook,4,1.3,0,1,157.3505121487356,Other Intel Processor,0,0,32,Intel,Windows,23496
Xiaomi,Ultrabook,8,1.3,0,1,169.45439769863833,Intel Core i5,256,0,0,Nvidia,Other/No OS/Linux,90360
Lenovo,Notebook,8,2.8,0,0,107.98564559226952,Intel Core i5,256,0,0,Nvidia,Other/No OS/Linux,63078
Dell,2 in 1 Convertible,8,1.62,0,1,169.45439769863833,Intel Core i7,0,0,0,Intel,Windows,75820
HP,Notebook,8,2.5,0,1,129.58277471072344,Intel Core i5,0,0,0,Nvidia,Windows,82598
Razer,Gaming,32,3.49,0,0,259.1655494214469,Intel Core i7,0,0,0,Nvidia,Windows,551166
HP,Notebook,8,1.49,0,0,169.45439769863833,Intel Core i5,512,0,0,Intel,Windows,86664
HP,Gaming,16,3.35,0,1,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,124620
HP,Notebook,8,2.5,0,0,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,94436
Dell,Gaming,16,2.65,0,1,293.7209560109731,Intel Core i7,512,0,0,Nvidia,Windows,166732
Lenovo,Notebook,4,2.1,0,0,104.47285665558198,Intel Core i5,128,0,0,Intel,Windows,44552
Acer,Notebook,8,2.23,0,0,146.86047800548656,Intel Core i7,0,0,0,Nvidia,Windows,67054
Lenovo,Gaming,16,3.2,0,1,146.86047800548656,Intel Core i7,512,0,0,Nvidia,Windows,158057
Dell,Workstation,16,2.8,0,0,293.7209560109731,Other Intel Processor,256,0,0,Nvidia,Windows,276080
Lenovo,Gaming,16,2.4,0,0,146.86047800548656,Intel Core i7,512,0,0,Nvidia,Other/No OS/Linux,126337
Dell,Notebook,6,2.3,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,39672
Dell,Ultrabook,8,1.21,0,1,338.90879539727666,Intel Core i7,256,0,0,Intel,Windows,176131
Dell,Ultrabook,8,1.2,0,0,169.45439769863833,Intel Core i7,256,0,0,Intel,Windows,130946
Lenovo,Notebook,8,2.2,0,0,104.47285665558198,Intel Core i5,256,0,0,Intel,Windows,53950
Acer,Notebook,8,2.4,0,0,146.86047800548656,Intel Core i7,0,0,0,Nvidia,Other/No OS/Linux,70398
Asus,Gaming,16,2.9,0,0,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,127150
HP,Notebook,4,2.1,0,0,146.86047800548656,Other Intel Processor,0,500,0,Intel,Other/No OS/Linux,31539
Lenovo,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i5,256,0,0,Intel,Other/No OS/Linux,49613
Huawei,Ultrabook,8,1.05,0,1,199.69207064108247,Intel Core i7,512,0,0,Intel,Windows,135464
Dell,Ultrabook,8,1.4,0,1,169.45439769863833,Intel Core i7,256,0,0,AMD,Windows,84213
Lenovo,Notebook,8,2.8,0,0,107.98564559226952,Intel Core i5,0,0,0,Nvidia,Other/No OS/Linux,53227
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,256,0,0,Nvidia,Windows,93171
Dell,Ultrabook,8,1.6,0,0,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,103835
Dell,2 in 1 Convertible,16,1.62,0,0,169.45439769863833,Intel Core i7,512,0,0,Intel,Windows,115583
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i5,256,0,0,AMD,Other/No OS/Linux,61212
Lenovo,2 in 1 Convertible,8,1.74,0,1,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,81242
Toshiba,Ultrabook,8,1.2,0,0,169.45439769863833,Intel Core i7,256,0,0,Intel,Windows,123174
HP,Notebook,8,2.1,0,0,146.86047800548656,Intel Core i5,0,0,0,Intel,Windows,71753
Dell,Gaming,16,4.42,0,1,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,221979
Acer,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,75187
Dell,Notebook,16,2.3,0,0,146.86047800548656,Intel Core i7,0,0,0,AMD,Windows,77628
Asus,Notebook,8,2.0,0,0,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Windows,69494
Asus,Notebook,8,2.69,0,0,129.58277471072344,Intel Core i5,256,500,0,Nvidia,Windows,80519
HP,Notebook,8,1.9,0,0,146.86047800548656,Intel Core i7,0,0,0,AMD,Windows,114679
Asus,Notebook,4,2.37,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,36056
HP,Notebook,4,2.1,0,0,104.47285665558198,AMD Processor,0,500,0,AMD,Windows,29822
Lenovo,Gaming,16,3.2,0,1,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,135464
Dell,Notebook,8,1.6,0,0,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,77627
Acer,2 in 1 Convertible,8,1.6,0,1,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,62264
Dell,Notebook,16,2.36,0,0,146.86047800548656,Intel Core i7,256,0,0,AMD,Other/No OS/Linux,81242
Acer,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Other/No OS/Linux,35244
Asus,Notebook,4,2.2,0,0,146.86047800548656,AMD Processor,128,0,0,AMD,Windows,51962
Asus,Gaming,32,4.7,0,0,129.58277471072344,Intel Core i7,512,0,0,Nvidia,Windows,351539
Acer,Gaming,8,2.5,0,1,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Windows,76453
Lenovo,Notebook,8,2.2,0,0,104.47285665558198,Other Intel Processor,128,0,0,Intel,Windows,53227
Asus,Notebook,8,2.1,0,0,129.58277471072344,Intel Core i7,128,0,0,Nvidia,Windows,103473
Asus,Notebook,8,2.69,0,0,129.58277471072344,Intel Core i7,128,0,0,Nvidia,Other/No OS/Linux,80338
Dell,Gaming,8,2.56,0,0,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Windows,79435
Lenovo,2 in 1 Convertible,8,1.38,0,1,169.45439769863833,Intel Core i7,256,0,0,Intel,Windows,97509
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i7,128,0,0,AMD,Windows,89014
HP,Notebook,8,2.04,0,0,104.47285665558198,Intel Core i5,0,0,0,Intel,Windows,50516
Asus,Gaming,16,3.6,0,0,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,271019
HP,Notebook,4,1.49,0,1,169.45439769863833,Intel Core i5,0,500,0,Intel,Windows,60999
